Age,Experience,Family,Education,Personal Loan,Securities Account,CD Account,Online,CreditCard,Income,CCAvg,Mortgage
25,1,4,1,0,1,0,0,0,5083333,2600000,1000000
45,19,3,1,0,1,0,0,0,3833333,2500000,1000000
39,15,1,1,0,0,0,0,0,1916666,2000000,1000000
35,9,1,2,0,0,0,0,0,9333333,3700000,1000000
35,8,4,2,0,0,0,0,1,4750000,2000000,1000000
37,13,4,2,0,0,0,1,0,3416666,1400000,156000000
53,27,2,2,0,0,0,1,0,6999999,2500000,1000000
50,24,1,3,0,0,0,0,1,2833333,1300000,1000000
35,10,3,2,0,0,0,1,0,7749999,1600000,104999999
34,9,1,3,1,0,0,0,0,15999999,9900000,1000000
65,39,4,3,0,0,0,0,0,9750000,3400000,1000000
29,5,3,2,0,0,0,1,0,4750000,1100000,1000000
48,23,2,3,0,1,0,0,0,10500000,4800000,1000000
59,32,4,2,0,0,0,1,0,4333333,3500000,1000000
67,41,1,1,0,1,0,0,0,10333333,2999999,1000000
60,30,1,3,0,0,0,1,1,2833333,2500000,1000000
38,14,4,3,1,0,0,0,0,11833333,5699999,135000000
42,18,4,1,0,0,0,0,0,7749999,3400000,1000000
46,21,2,3,1,0,0,0,0,17083333,9100000,1000000
55,28,1,2,0,1,0,0,1,2750000,1500000,1000000
56,31,4,2,0,0,0,1,0,3083333,1900000,111999999
57,27,3,3,0,0,0,1,0,6250000,2999999,1000000
29,5,1,1,0,0,0,1,0,6166666,2200000,261000000
44,18,2,1,0,1,0,0,0,4583333,1700000,164000000
36,11,2,1,0,0,0,0,1,13666666,4900000,159999999
43,19,3,1,0,0,0,1,0,3416666,1500000,98000000
40,16,4,3,0,0,0,0,0,7916666,1200000,1000000
46,20,1,1,0,0,0,1,1,14166666,3400000,1000000
56,30,1,3,0,0,0,1,1,4999999,3200000,1000000
38,13,1,2,1,0,1,1,1,10916666,4300000,1000000
59,35,1,3,0,0,0,1,0,3916666,2200000,122999999
40,16,1,2,0,0,0,1,0,3416666,2999999,1000000
53,28,2,3,0,0,0,0,0,4416666,1600000,194000000
30,6,3,3,0,0,0,0,0,2500000,1900000,1000000
31,5,4,3,0,0,0,1,0,5166666,2800000,1000000
48,24,3,1,0,0,0,0,0,7749999,1700000,1000000
59,35,1,1,0,0,0,0,1,11083333,3899999,1000000
51,25,1,3,0,0,0,0,0,6916666,2400000,198999999
42,18,3,3,1,1,1,1,0,12750000,6000000,1000000
38,13,4,3,0,0,0,1,0,7666666,1700000,285999999
57,32,3,3,0,1,0,0,0,7999999,2600000,1000000
34,9,3,1,0,0,0,0,0,6000000,3300000,1000000
32,7,4,2,1,0,0,1,0,12000000,2100000,413000000
39,15,1,1,0,0,0,1,0,4750000,1700000,1000000
46,20,1,1,0,0,0,1,1,9666666,6700000,1000000
57,31,4,1,0,0,0,0,1,5333333,3500000,1000000
39,14,3,2,0,0,0,1,0,4583333,1700000,154000000
37,12,4,3,1,1,1,1,1,17166666,1200000,211999999
56,26,2,3,0,0,0,0,1,7749999,5500000,1000000
40,16,1,1,0,0,0,0,1,5083333,2800000,1000000
32,8,4,2,0,1,0,1,0,1666666,1700000,1000000
61,37,1,1,0,0,0,1,0,11916666,3899999,1000000
30,6,1,1,0,0,0,0,0,6999999,1100000,207999999
50,26,3,3,1,0,0,1,0,16833333,3100000,240999999
29,5,1,3,0,0,0,1,0,4666666,1200000,1000000
41,17,2,1,0,0,0,1,0,12583333,9000000,1000000
55,30,3,2,0,1,1,1,0,3416666,1100000,1000000
56,31,2,3,1,0,0,0,0,11916666,2200000,1000000
28,2,2,1,0,0,0,0,0,8750000,1200000,1000000
31,5,2,1,0,0,0,0,0,16666666,5500000,456000000
49,24,3,2,0,1,0,1,0,4250000,2700000,1000000
47,21,1,1,0,1,0,0,0,11416666,6700000,113000000
42,18,1,1,0,0,0,0,0,2833333,2000000,1000000
42,17,4,2,0,0,0,1,0,3666666,1000000,1000000
47,23,2,1,0,0,0,0,0,9750000,4300000,1000000
59,35,1,1,0,0,0,1,1,11916666,4800000,1000000
62,36,2,1,0,0,0,0,0,9750000,3800000,336999999
53,23,4,3,0,1,0,0,0,4750000,2999999,133000000
47,21,3,1,0,0,0,1,1,6000000,3100000,1000000
53,29,4,1,0,0,0,1,0,2666666,1200000,1000000
42,18,1,1,0,0,0,0,1,10583333,4500000,1000000
53,29,4,2,0,0,0,1,0,6749999,2000000,1000000
44,20,1,1,0,0,0,0,1,11833333,6000000,1000000
41,16,1,3,0,0,0,1,1,8083333,4999999,1000000
28,3,2,1,0,0,0,0,1,12250000,4300000,1000000
31,7,4,2,1,0,1,1,1,12250000,4800000,1000000
58,32,3,3,0,0,0,0,0,2000000,1300000,1000000
46,20,3,2,0,0,0,0,0,3416666,1500000,1000000
54,30,2,3,1,0,0,0,0,12083333,3600000,1000000
50,26,2,1,0,0,0,1,0,2583333,1400000,119000000
60,36,4,1,0,0,0,1,1,4416666,2300000,175000000
47,22,3,2,0,0,0,1,0,4333333,3700000,1000000
41,16,1,3,0,0,0,1,0,7833333,4999999,1000000
33,9,1,2,0,0,0,0,0,5166666,3400000,1000000
46,22,1,3,0,0,0,1,0,2500000,1900000,1000000
27,2,4,3,0,0,0,0,0,10083333,2800000,1000000
40,16,4,2,0,0,0,0,0,4500000,3200000,126999999
48,22,3,1,0,0,0,1,0,7499999,2100000,1000000
65,41,2,1,0,0,0,1,0,5250000,2100000,1000000
25,1,4,3,0,0,0,0,1,10416666,3300000,1000000
55,30,4,2,1,0,0,1,0,10833333,6599999,1000000
35,10,4,3,0,0,0,1,0,3416666,2100000,1000000
43,19,3,2,0,0,0,0,0,3833333,1600000,1000000
60,34,2,3,0,1,0,1,0,6333333,2700000,237000000
65,39,1,1,0,0,0,0,0,11083333,2999999,1000000
38,12,4,3,0,0,0,1,0,4999999,1200000,1000000
41,15,1,1,0,0,0,0,0,7666666,6199999,1000000
54,28,1,1,0,0,0,1,0,14416666,3899999,1000000
49,23,1,1,0,0,0,1,0,8833333,1300000,1000000
66,41,3,3,0,0,0,1,0,2250000,1100000,1000000
48,23,1,1,0,0,0,1,0,7166666,2200000,1000000
61,36,3,2,0,0,0,0,0,3500000,2300000,1000000
53,23,3,3,0,0,0,1,1,4666666,2000000,198999999
43,18,2,2,0,0,0,1,0,2833333,1300000,1000000
56,32,4,1,0,0,0,1,1,4166666,2300000,167000000
24,0,3,2,0,1,0,1,0,3916666,1100000,1000000
43,17,4,1,0,0,0,1,1,6749999,3899999,1000000
42,18,1,1,0,0,0,0,0,4583333,1700000,137000000
33,7,1,3,0,0,0,1,0,3666666,1600000,167000000
43,17,1,1,0,0,0,1,0,5083333,3800000,1000000
41,14,3,2,0,0,0,0,0,1750000,2000000,1000000
62,38,4,2,0,0,0,1,0,4750000,2300000,1000000
40,15,3,1,0,0,0,0,0,7833333,2000000,310000000
58,34,2,1,0,0,0,0,0,8666666,3800000,103999999
39,14,3,3,0,0,0,1,0,4250000,1500000,1000000
65,40,3,2,0,0,0,1,0,7749999,2800000,1000000
54,29,1,2,0,0,0,1,0,3916666,2500000,1000000
58,33,2,3,0,0,0,1,0,6083333,3300000,194000000
41,16,3,1,0,0,0,1,0,7083333,4000000,1000000
32,7,1,1,0,0,0,0,0,10333333,5600000,367000000
54,29,2,3,0,0,0,1,0,2000000,1200000,1000000
52,26,3,3,0,0,0,1,0,4166666,1900000,1000000
58,32,2,2,0,0,0,1,1,7083333,1700000,1000000
37,13,1,2,0,1,0,0,0,7999999,4600000,1000000
39,15,4,1,0,0,0,1,0,7499999,3400000,119000000
60,35,3,1,0,0,0,1,0,7666666,1500000,1000000
31,5,2,1,0,0,0,1,1,10583333,2300000,101999999
34,8,1,2,0,0,0,1,0,7833333,3700000,252000000
38,14,2,1,0,1,0,1,0,7166666,1000000,1000000
41,16,3,3,0,0,0,0,1,6833333,1500000,1000000
28,4,3,1,0,0,0,1,0,7749999,2500000,277000000
58,34,4,2,1,0,1,1,1,13416666,8199999,1000000
31,1,2,3,0,0,0,0,0,5250000,2750000,1000000
30,4,3,2,0,0,0,1,0,4250000,2100000,1000000
53,29,3,2,0,0,0,0,0,9166666,2800000,1000000
58,33,4,1,0,0,0,1,1,4750000,3100000,1000000
59,32,4,2,0,0,0,1,0,5083333,3500000,1000000
49,25,2,1,0,0,0,0,0,11666666,1400000,1000000
59,34,3,1,0,1,1,0,1,4500000,2500000,1000000
59,35,1,3,0,0,0,1,0,2500000,2200000,1000000
51,25,2,3,0,0,0,1,1,3583333,1400000,161999999
35,11,3,1,0,0,0,1,1,5833333,2999999,149999999
33,9,1,3,0,0,0,0,1,4999999,3100000,1000000
25,1,4,1,0,0,0,1,1,5500000,2600000,1000000
49,23,2,2,0,0,0,0,0,6833333,2500000,1000000
